timestamp,symbol,feature_vector,prediction_probability,actual_outcome,correct
2024-03-06 04:00:00+00:00,BONKUSDT,0.617857;0.946429;0.996429;0.860215;0.528571;0.207143;0.541219;0.157143;0.728571;0.767857;0.723214;0.975000;0.978571;0.985714;0.875000;0.310714;0.396429;0.460714;0.878571;0.960714;0.251786;0.110714;0.350000;0.914286;0.089286;0.957143;0.014286,0.39559,0,1
2024-03-06 04:00:00+00:00,BNTUSDT,0.335714;0.239286;0.778571;0.394265;0.010714;0.017857;0.003584;0.032143;0.096429;0.991071;0.412500;0.214286;0.275000;0.300000;0.178571;0.539286;0.314286;0.289286;0.364286;0.825000;0.251786;0.671429;0.160714;0.432143;0.296429;0.378571;0.732143,0.651796,1,1
2024-03-06 04:00:00+00:00,GASUSDT,0.628571;0.450000;0.153571;0.315412;0.082143;0.300000;0.129032;0.725000;0.096429;0.539286;0.723214;0.360714;0.157143;0.414286;0.264286;0.471429;0.589286;0.764286;0.285714;0.285714;0.566071;0.671429;0.517857;0.250000;0.714286;0.075000;0.750000,0.609598,1,1
2024-03-06 04:00:00+00:00,REQUSDT,0.664286;0.496429;0.289286;0.437276;0.185714;0.039286;0.480287;0.032143;0.096429;0.991071;0.412500;0.332143;0.110714;0.107143;0.667857;0.396429;0.371429;0.467857;0.107143;0.339286;0.703571;0.800000;0.685714;0.296429;0.707143;0.153571;0.632143,0.66791,1,1
2024-03-06 04:00:00+00:00,PAXGUSDT,0.387500;0.260714;0.014286;0.827957;0.764286;0.714286;0.860215;0.032143;0.892857;0.692857;0.412500;0.028571;0.028571;0.021429;0.835714;0.042857;0.085714;0.153571;0.028571;0.346429;0.132143;0.017857;0.721429;0.707143;0.110714;0.028571;0.982143,0.609327,0,0
2024-03-06 04:00:00+00:00,ADXUSDT,0.387500;0.489286;0.071429;0.390681;0.003571;0.003571;0.007168;0.985714;0.096429;0.058929;0.412500;0.271429;0.060714;0.035714;0.825000;0.400000;0.592857;0.607143;0.167857;0.110714;0.566071;0.160714;0.771429;0.410714;0.385714;0.114286;0.514286,0.606512,1,1
2024-03-06 04:00:00+00:00,OXTUSDT,0.828571;0.403571;0.389286;0.455197;0.339286;0.235714;0.630824;0.617857;0.096429;0.692857;0.723214;0.282143;0.292857;0.264286;0.275000;0.703571;0.735714;0.860714;0.207143;0.625000;0.407143;0.671429;0.339286;0.253571;0.760714;0.582143;0.328571,0.603937,1,1
2024-03-06 04:00:00+00:00,RAREUSDT,0.387500;0.535714;0.125000;0.530466;0.117857;0.521429;0.268817;0.032143;1.000000;0.058929;0.412500;0.328571;0.057143;0.103571;0.671429;0.360714;0.332143;0.410714;0.410714;0.153571;0.407143;0.382143;0.846429;0.464286;0.435714;0.107143;0.546429,0.623036,1,1
2024-03-06 04:00:00+00:00,PROMUSDT,0.428571;0.571429;0.260714;0.132616;0.539286;0.621429;0.043011;0.032143;0.635714;0.932143;0.412500;0.353571;0.282143;0.789286;0.071429;0.478571;0.560714;0.367857;0.239286;0.050000;0.891071;0.739286;0.628571;0.028571;0.964286;0.507143;0.939286,0.600722,1,1
2024-03-06 04:00:00+00:00,POWRUSDT,0.567857;0.517857;0.300000;0.559140;0.310714;0.496429;0.745520;0.032143;0.096429;0.991071;0.412500;0.321429;0.067857;0.282143;0.307143;0.707143;0.525000;0.664286;0.250000;0.564286;0.407143;0.739286;0.639286;0.171429;0.789286;0.321429;0.371429,0.68267,1,1
2024-03-06 04:00:00+00:00,PORTOUSDT,0.387500;0.085714;0.096429;0.573477;0.846429;0.785714;0.752688;0.264286;0.960714;0.164286;0.191071;0.178571;0.178571;0.175000;0.314286;0.067857;0.032143;0.021429;0.050000;0.289286;0.016071;0.475000;0.178571;0.207143;0.864286;0.064286;0.875000,0.601299,1,1
2024-03-06 04:00:00+00:00,ARUSDT,0.014286;0.092857;0.114286;0.917563;0.453571;0.221429;0.261649;0.846429;0.296429;0.300000;0.191071;0.910714;0.878571;0.928571;0.853571;0.089286;0.060714;0.121429;0.928571;0.942857;0.251786;0.039286;0.050000;0.992857;0.742857;0.835714;0.828571,0.38748,0,1
2024-03-06 04:00:00+00:00,MBLUSDT,0.650000;0.242857;0.285714;0.670251;0.235714;0.382143;0.397849;0.503571;0.096429;0.796429;0.723214;0.128571;0.146429;0.425000;0.053571;0.532143;0.571429;0.650000;0.039286;0.814286;0.703571;0.671429;0.360714;0.182143;0.739286;0.492857;0.089286,0.617211,1,1
