symbol,signal,pred_ret,pnl_percent,raw_ret_pct,position_scale,week,week_start
BARUSDT,BUY,0.66865,0.2753,0.4753,1.0,1,2024-09-09
VICUSDT,BUY,2.29999,8.7956,8.9956,1.0,1,2024-09-09
QUICKUSDT,BUY,0.30668,20.9005,21.1005,1.0,1,2024-09-09
GTCUSDT,BUY,1.90359,1.4751,1.6751,1.0,1,2024-09-09
COTIUSDT,BUY,0.36329,30.3349,30.5349,1.0,1,2024-09-09
NOTUSDT,SELL,-11.63092,4.7331,-9.6662,0.5,1,2024-09-09
TKOUSDT,SELL,-22.32713,-4.9779,9.7557,0.5,1,2024-09-09
NEARUSDT,SELL,-12.72619,-1.0756,1.9512,0.5,1,2024-09-09
LINKUSDT,SELL,-12.27592,0.0866,-0.3731,0.5,1,2024-09-09
AAVEUSDT,SELL,-13.55747,-2.0134,3.8268,0.5,1,2024-09-09
WINUSDT,BUY,7.82984,6.2612,6.4612,1.0,2,2024-09-16
SUNUSDT,BUY,6.83078,1.8834,2.0834,1.0,2,2024-09-16
1INCHUSDT,BUY,8.08145,14.993,15.193,1.0,2,2024-09-16
NMRUSDT,BUY,6.85205,13.0333,13.2333,1.0,2,2024-09-16
DUSKUSDT,BUY,7.62483,13.57,13.77,1.0,2,2024-09-16
SUIUSDT,SELL,-6.86441,-16.8804,33.5607,0.5,2,2024-09-16
FIDAUSDT,SELL,-5.14576,-10.5546,20.9092,0.5,2,2024-09-16
THETAUSDT,SELL,-6.03658,-1.9425,3.685,0.5,2,2024-09-16
SAGAUSDT,SELL,-9.71217,-22.372,44.5439,0.5,2,2024-09-16
RUNEUSDT,SELL,-6.29651,-6.9752,13.7503,0.5,2,2024-09-16
FUNUSDT,BUY,9.60859,0.9703,1.1703,1.0,3,2024-09-23
RAYUSDT,BUY,9.62975,19.8731,20.0731,1.0,3,2024-09-23
DOGSUSDT,BUY,15.02065,-3.6932,-3.4932,1.0,3,2024-09-23
ZECUSDT,BUY,16.82165,-3.9118,-3.7118,1.0,3,2024-09-23
ILVUSDT,BUY,18.5201,11.9331,12.1331,1.0,3,2024-09-23
IMXUSDT,SELL,-8.38522,2.9809,-6.1619,0.5,3,2024-09-23
RONINUSDT,SELL,-7.84598,-4.9978,9.7957,0.5,3,2024-09-23
ARDRUSDT,SELL,-8.51481,-0.0285,-0.143,0.5,3,2024-09-23
ARKMUSDT,SELL,-6.04206,-5.8821,11.5643,0.5,3,2024-09-23
NEIROUSDT,SELL,-9.89235,7.3579,-14.9157,0.5,3,2024-09-23
BTCUSDT,BUY,9.15895,-1.1329,-0.9329,1.0,4,2024-09-30
ARDRUSDT,BUY,11.37369,3.6253,3.8253,1.0,4,2024-09-30
STORJUSDT,BUY,10.99067,-5.2078,-5.0078,1.0,4,2024-09-30
SANTOSUSDT,BUY,10.68931,3.2391,3.4391,1.0,4,2024-09-30
PEPEUSDT,BUY,9.33721,-5.1846,-4.9846,1.0,4,2024-09-30
LTCUSDT,BUY,5.13232,-1.7127,-1.5127,1.0,5,2024-10-07
WUSDT,BUY,5.89134,-5.3908,-5.1908,1.0,5,2024-10-07
ACMUSDT,BUY,6.79633,10.2186,10.4186,1.0,5,2024-10-07
SSVUSDT,BUY,5.22615,-1.6789,-1.4789,1.0,5,2024-10-07
CITYUSDT,BUY,6.16931,10.2337,10.4337,1.0,5,2024-10-07
SXPUSDT,BUY,8.57352,-5.2533,-5.0533,1.0,6,2024-10-14
BLURUSDT,BUY,7.54174,7.2398,7.4398,1.0,6,2024-10-14
TWTUSDT,BUY,5.75402,-5.559,-5.359,1.0,6,2024-10-14
SEIUSDT,BUY,6.65046,-10.0978,-9.8978,1.0,6,2024-10-14
TRXUSDT,BUY,8.79432,-1.8998,-1.6998,1.0,6,2024-10-14
METISUSDT,SELL,-10.90232,-9.6617,19.1235,0.5,6,2024-10-14
PEOPLEUSDT,SELL,-12.12514,2.6689,-5.5378,0.5,6,2024-10-14
SAGAUSDT,SELL,-12.60087,8.8315,-17.863,0.5,6,2024-10-14
RAYUSDT,SELL,-12.7327,-8.4253,16.6506,0.5,6,2024-10-14
AAVEUSDT,SELL,-11.66993,2.9885,-6.177,0.5,6,2024-10-14
ARKUSDT,BUY,12.44516,-14.3187,-14.1187,1.0,7,2024-10-21
CKBUSDT,BUY,10.94211,-14.5749,-14.3749,1.0,7,2024-10-21
MBLUSDT,BUY,10.92618,-10.197,-9.997,1.0,7,2024-10-21
SCUSDT,BUY,14.53999,-10.5032,-10.3032,1.0,7,2024-10-21
HIGHUSDT,BUY,9.97359,-12.9191,-12.7191,1.0,7,2024-10-21
XRPUSDT,SELL,-7.98611,3.3284,-6.8567,0.5,7,2024-10-21
ATOMUSDT,SELL,-10.23634,5.8421,-11.8842,0.5,7,2024-10-21
SCRUSDT,SELL,-10.9025,24.4405,-49.0809,0.5,7,2024-10-21
APEUSDT,SELL,-9.32456,18.7033,-37.6065,0.5,7,2024-10-21
LUMIAUSDT,SELL,-9.90751,12.589,-25.378,0.5,7,2024-10-21
JTOUSDT,SELL,-12.22055,11.6743,-23.5485,0.5,8,2024-10-28
RUNEUSDT,SELL,-12.05113,6.223,-12.646,0.5,8,2024-10-28
CTKUSDT,SELL,-10.81624,-1.5396,2.8791,0.5,8,2024-10-28
ZECUSDT,SELL,-14.69473,2.1107,-4.4214,0.5,8,2024-10-28
AAVEUSDT,SELL,-11.18991,7.8612,-15.9225,0.5,8,2024-10-28
JTOUSDT,BUY,11.6734,42.749,42.949,1.0,9,2024-11-04
SYSUSDT,BUY,15.43331,22.7936,22.9936,1.0,9,2024-11-04
SCRUSDT,BUY,19.44731,29.6942,29.8942,1.0,9,2024-11-04
APEUSDT,BUY,11.94649,20.4318,20.6318,1.0,9,2024-11-04
